id,cluster_id,absolute_url,case_name,date_filed,year,confidence,is_affirmance,is_notice_and_comment,agency,rule_short_name,cfr_citation,federal_register_citation,reasoning
186164,186164,/opinion/186164/us-telecom-assn-v-fcc/,US Telecom Assn v. FCC,2004-03-02,2004,0.95,no,yes,Federal Communications Commission,FCC Triennial Review Order on Unbundling Obligations of ILECs,47 C.F.R. § 51.505,18 FCC Rcd 16978,"The D.C. Circuit largely vacated rather than upheld the FCC's Order, finding the subdelegation to state commissions unlawful and the national impairment findings for mass market switches and other elements inconsistent with USTA I. The court did not affirm the agency's interpretation at Chevron Step Two; instead it rejected most of the challenged rules. While the proceeding was a notice-and-comment rulemaking, the court's disposition was primarily one of vacatur rather than affirmance."
785238,785238,/opinion/785238/united-states-telecom-association-v-federal-communications-commission-and/,"United States Telecom Association v. Federal Communications Commission and United States of America, Bell Atlantic Telephone Companies, Intervenors",2004-03-02,2004,0.92,no,yes,Federal Communications Commission,Triennial Review Order on Unbundled Network Elements,47 C.F.R. § 51.505,18 FCC Rcd 16978,"The D.C. Circuit largely vacated and remanded the FCC's Triennial Review Order, finding the Commission's unbundling rules for mass market switches, dedicated transport, and other elements unlawful. The court did not uphold the agency's interpretation at Chevron step two; instead, it struck down key provisions including the subdelegation to state commissions and the national impairment finding for mass market switches. While the rulemaking was conducted through notice-and-comment procedures, the "
186152,186152,/opinion/186152/pdk-laboratories-inc-v-united-states-drug-enforcement-administration/,PDK Laboratories Inc. v. United States Drug Enforcement Administration,2004-03-26,2004,0.97,no,no,Drug Enforcement Administration,DEA Suspension of Ephedrine Importation Orders,,"67 Fed. Reg. 77,805","The D.C. Circuit did not uphold the agency's interpretation at Chevron step two; instead, it vacated and remanded the DEA Deputy Administrator's suspension orders. The court found the statute ambiguous but held that the agency had wrongly treated its interpretation as compelled by plain meaning rather than exercising reasoned discretion, and therefore withheld Chevron deference entirely. The DEA action at issue was an adjudicatory order, not a notice-and-comment rulemaking."
186194,186194,/opinion/186194/pharmaceutical-research-manufacturers-of-america-v-thompson/,Pharmaceutical Research & Manufacturers of America v. Thompson,2004-04-02,2004,0.35,yes,no,Department of Health and Human Services,Michigan Best Practices Initiative / Medicaid Prior Authorization Approval,,,"The court applied Chevron step two and upheld the Secretary's interpretation of the Medicaid outpatient drug payment statute (42 U.S.C. § 1396r-8) as permitting Michigan's prior authorization program, concluding the Secretary's construction was a permissible reading of an ambiguous statute. However, the interpretation was not embodied in a notice-and-comment rulemaking but rather in the Secretary's approval of a state Medicaid plan amendment through informal agency letters, making this an adjudi"
186175,186175,/opinion/186175/duchek-v-national-transportation-safety-board/,Duchek v. National Transportation Safety Board,2004-04-20,2004,0.97,no,yes,Federal Aviation Administration / Department of Transportation,Transportation Workplace Drug and Alcohol Testing Program Regulations,"49 C.F.R. § 40.191; 14 C.F.R. Pt. 121, App. I",65 Fed. Reg. 79462,"The court explicitly rejected the FAA's interpretation of the drug testing regulations, finding it inconsistent with the text of the regulations in two significant respects. Rather than upholding the agency's interpretation at Chevron step two, the court vacated the NTSB Board order as arbitrary and capricious. This is the opposite of a Chevron step two affirmance."
186170,186170,/opinion/186170/california-metro-mobile-communications-inc-v-federal-communications/,"California Metro Mobile Communications, Inc. v. Federal Communications Commission",2004-04-23,2004,0.3,yes,no,Federal Communications Commission,FCC License Modification Authority under Section 316,47 C.F.R. § 1.87,,"The court explicitly applied Chevron step two, finding section 316 of the Communications Act ambiguous and deferring to the FCC's reasonable interpretation that it contains no time limitation on license modifications. However, the FCC's interpretation at issue was expressed in an adjudicatory order (the California Metro Mobile Order), not a notice-and-comment rulemaking, so the is_notice_and_comment_rule field is false. The referenced regulations (47 C.F.R. § 1.87) were pre-existing rules, not t"
186171,186171,/opinion/186171/sierra-club-v-epa/,Sierra Club v. EPA,2004-04-23,2004,0.72,yes,yes,Environmental Protection Agency,EPA Conditional Approval of D.C. Area Ozone SIPs – Attainment Demonstration Based on Photochemical Grid Modeling,40 C.F.R. § 51.112,68 Fed. Reg. 19106,"The court applied Chevron step two to EPA's interpretation of the phrase 'based on' photochemical grid modeling in CAA § 182(c)(2)(A), finding the statute ambiguous and upholding EPA's reasonable construction that an attainment demonstration could incorporate supplemental statistical adjustments to the model rather than relying solely on raw model output. The court explicitly noted that Chevron deference applies because the interpretation was embodied in notice-and-comment rulemaking, citing Mea"
8424165,8452525,/opinion/8452525/ranbaxy-laboratories-ltd-v-food-drug-administration/,Ranbaxy Laboratories Ltd. v. Food & Drug Administration,2004-04-26,2004,0.85,no,no,Food and Drug Administration,FDA ANDA approval and pediatric exclusivity determination,,,"The court affirmed the FDA's determination regarding ANDA approvals and pediatric exclusivity provisions, but this was an adjudicatory decision by the FDA, not a notice-and-comment rulemaking. The opinion explicitly leaves open whether Skidmore or Chevron applies, and does not conduct a Chevron step two analysis. There is no CFR regulation or notice-and-comment rulemaking at issue; the FDA's interpretation was applied in the context of individual drug application review."
186166,186166,/opinion/186166/communications-vending-corp-of-arizona-inc-v-federal-communications/,"Communications Vending Corp. of Arizona, Inc. v. Federal Communications Commission",2004-04-30,2004,0.85,no,no,Federal Communications Commission,Access Charge / End User Common Line Charge Rules,47 C.F.R. § 69.2(m); 47 C.F.R. § 69.104(a),,"The court applied Chevron to the FCC's interpretation of the word 'accrues' in 47 U.S.C. § 415(b) (a statutory provision, not a notice-and-comment regulation), finding the agency's construction permissible under Chevron step two. However, the primary statutory interpretation at issue concerned the Communications Act's statute of limitations applied through adjudication (complaint proceedings), not a notice-and-comment rulemaking. The CFR provisions cited (47 C.F.R. §§ 69.2(m) and 69.104) were in"
785925,785925,/opinion/785925/communications-vending-corporation-of-arizona-inc-v-federal/,"Communications Vending Corporation Of Arizona, Inc. v. Federal Communications Commission",2004-04-30,2004,0.85,no,no,Federal Communications Commission,Access Charge / EUCL End User Definition and Section 415 Accrual Rule,47 C.F.R. § 69.2(m); 47 C.F.R. § 69.104,,"The court applied Chevron step two to the FCC's interpretation of 'accrues' in 47 U.S.C. § 415(b) and upheld the FCC's construction as permissible, but this interpretation was articulated through adjudicatory orders rather than notice-and-comment rulemaking. The access charge rules in 47 C.F.R. § 69.2(m) and § 69.104 were promulgated through notice-and-comment rulemaking, but the court's Chevron step two analysis focused on the FCC's adjudicatory ruling on accrual, not on those regulations. Acco"
186198,186198,/opinion/186198/wells-fargo-bank-na-v-federal-deposit-insurance/,"Wells Fargo Bank, N.A. v. Federal Deposit Insurance",2004-05-18,2004,0.95,no,yes,Federal Deposit Insurance Corporation (FDIC),SAIF One-Time Special Assessment Rule,12 C.F.R. pt. 327,"61 Fed. Reg. 53,834","The court explicitly stated that the Banks made a Chevron step-one argument only and never argued that the FDIC's interpretation was unreasonable under step two. The court therefore began and ended its analysis at Chevron step one, finding the statute ambiguous but ultimately affirming on step-one grounds by rejecting the Banks' plain-language argument. Because the court did not reach or apply Chevron step two, this is not a step-two affirmance despite the rule having been promulgated through no"
186242,186242,/opinion/186242/bluewater-network-v-environmental-protection-agency/,Bluewater Network v. Environmental Protection Agency,2004-06-01,2004,0.72,no,yes,Environmental Protection Agency,Nonroad Recreational Engine Emissions Standards (Snowmobiles),,"67 Fed. Reg. 68,242","The court applied Chevron to EPA's interpretation of the 'cause, or contribute to' language in CAA § 213(a)(3) and the 'has failed to attain' language in § 213(a)(2), but it upheld those interpretations primarily at Chevron Step One (finding Congress clearly did not require 'significant contribution' for individual categories) rather than at Step Two. The court did find EPA's interpretation of 'has failed to attain' to be 'reasonable' in an ambiguous context, which is closer to Step Two deferenc"
8425156,8453500,/opinion/8453500/jacobson-v-department-of-agriculture/,Jacobson v. Department of Agriculture,2004-06-01,2004,0.25,yes,no,Department of Agriculture,PACA 'responsibly connected' standard for active involvement,,,"The court applied Chevron step two and upheld the agency's interpretation of 'not actively involved' under PACA as requiring a showing that participation was limited to ministerial functions only. However, this interpretation was not adopted through notice-and-comment rulemaking but rather through an adjudicative decision (In re Norinsberg, 58 Agric. Dec. 604 (1999)), which is an administrative adjudication. Therefore, while this is a Chevron step two affirmance, it does not meet the notice-and-"
186241,186241,/opinion/186241/acree-clifford-v-repub-iraq/,"Acree, Clifford v. Repub Iraq",2004-06-04,2004,0.97,no,no,,,,,"This case involves statutory interpretation of the Foreign Sovereign Immunities Act and the Emergency Wartime Supplemental Appropriations Act, not judicial review of an agency's interpretation of an ambiguous statute under Chevron. The court analyzes whether a Presidential Determination made the terrorism exception to the FSIA inapplicable to Iraq, and ultimately vacates the district court judgment on cause-of-action grounds under Cicippio. There is no Chevron step two analysis and no notice-and"
186224,186224,/opinion/186224/mossville-env-actn-v-epa/,Mossville Env Actn v. EPA,2004-06-18,2004,0.85,no,yes,Environmental Protection Agency,NESHAP for Polyvinyl Chloride and Copolymers Production,40 C.F.R. pt. 63,67 Fed. Reg. 45886,"The court partially denied and partially granted the petition for review of EPA's Part 63 NESHAP for PVC production facilities. While the court upheld EPA's MACT floor methodology for RVCM emissions, it remanded and vacated the rule's use of vinyl chloride as a surrogate for all other HAPs, finding that determination arbitrary and capricious. Because the court did not fully affirm the agency's interpretation at Chevron step two—indeed, it granted the petition in part and remanded a significant p"
7863082,7914027,/opinion/7914027/mossville-environmental-action-now-v-environmental-protection-agency/,Mossville Environmental Action Now v. Environmental Protection Agency,2004-06-18,2004,0.85,no,yes,Environmental Protection Agency,NESHAP for Polyvinyl Chloride and Copolymers Production,40 C.F.R. pt. 63,"67 Fed. Reg. 45,886","The court partially granted and partially denied the petition, upholding EPA's RVCM floor-setting methodology but remanding EPA's use of vinyl chloride as a surrogate for other HAPs as arbitrary and capricious. Although the court upheld one aspect of the rule (the RVCM MACT floor) after applying arbitrary and capricious review, it did not frame this as a Chevron step two affirmance, and it vacated and remanded the rule on the surrogate HAP issue. Thus this is not a clean Chevron step two affirma"
186220,186220,/opinion/186220/ca-indep-sys-oprtr-v-ferc/,CA Indep Sys Oprtr v. FERC,2004-06-22,2004,0.97,no,no,FERC,FERC Order on CAISO Board Governance,,,"The court explicitly resolved the case at Chevron Step One, finding that the statute unambiguously did not grant FERC authority to replace CAISO's board of directors, and specifically stated 'we therefore need not reach Chevron step two.' The court vacated and remanded FERC's order rather than upholding it. Additionally, the agency action at issue was an adjudicatory order, not a notice-and-comment rulemaking."
186222,186222,/opinion/186222/bluewater-network-v-environmental-protection-agency/,Bluewater Network v. Environmental Protection Agency,2004-06-22,2004,0.82,no,yes,Environmental Protection Agency (EPA),Category 3 Marine Diesel Engine Emissions Standards (Two-Tier Rule),"40 C.F.R. pts. 9, 94",68 Fed. Reg. 9746,"The court explicitly invoked Chevron two-step analysis, finding that the term 'new nonroad engine' in CAA section 213(a)(3) is ambiguous (as previously held in Engine Mfrs. Ass'n), and then upheld the EPA's interpretation and two-tiered rulemaking approach as a permissible, reasonable construction of that statute. The rule was promulgated through notice-and-comment rulemaking, with a proposed rule published in May 2002 and a final rule issued February 28, 2003. However, much of the court's analy"
7863087,7914032,/opinion/7914032/california-independent-system-operator-corp-v-federal-energy-regulatory/,California Independent System Operator Corp. v. Federal Energy Regulatory Commission,2004-06-22,2004,0.97,no,no,Federal Energy Regulatory Commission,FERC Order Replacing CAISO Board of Directors,,,"The court explicitly stated it did not need to reach Chevron step two, resolving the case at step one by finding that Congress's intent was 'crystal clear' that 'practices' in FPA section 206 did not encompass corporate governance restructuring. The court vacated FERC's order rather than upholding the agency's interpretation. Additionally, the agency action at issue was an adjudicatory order, not a notice-and-comment rulemaking."
186213,186213,/opinion/186213/natl-assn-st-util-v-fcc/,Natl Assn St Util v. FCC,2004-06-29,2004,0.75,no,yes,Federal Communications Commission,CALLS II Subscriber Line Charge Cap Order,,17 FCC Rcd 10868,"The court reviewed the FCC's CALLS II order adjusting Subscriber Line Charge caps and upheld it as reasonable and consistent with the 1996 Telecommunications Act. While the court cited Chevron at step one to note NASUCA's argument about 'unambiguously expressed intent of Congress,' the court's analysis focused primarily on reasonableness review (APA arbitrary-and-capricious and statutory conformity) rather than explicitly applying Chevron step two to an ambiguous statutory provision. The FCC ord"
7863092,7914037,/opinion/7914037/national-assn-of-state-utility-consumer-advocates-v-federal/,National Ass'n of State Utility Consumer Advocates v. Federal Communications Commission,2004-06-29,2004,0.3,no,yes,Federal Communications Commission,CALLS II SLC Cap Increase Order,,,"The court upheld the FCC's order adjusting Subscriber Line Charge caps under the Telecommunications Act of 1996, but the opinion does not clearly apply Chevron step two analysis. The court primarily reviewed the agency's decision under the APA arbitrary-and-capricious standard and found the Commission acted reasonably, without explicitly engaging in a Chevron step two reasonableness analysis of an ambiguous statutory provision. While NASUCA raised Chevron step one arguments, the court's affirman"
186284,186284,/opinion/186284/federal-express-corp-v-mineta/,Federal Express Corp. v. Mineta,2004-07-02,2004,0.72,yes,yes,Department of Transportation,Air Carrier Compensation Offset Rule (Post-9/11 Stabilization Act),14 C.F.R. pt. 330,"67 Fed. Reg. 18,468","The court applied Chevron's two-step analysis to the DOT's offset rule, found the statute ambiguous as to the meaning of 'incurred' losses, and upheld the agency's interpretation as a permissible construction at step two. The rules were promulgated as 'Final Rules' published in the Federal Register, and the court found that the DOT satisfied notice-and-comment requirements under the APA by providing meaningful opportunity to comment before the Fourth Final Rule became effective. However, confide"
186276,186276,/opinion/186276/nuc-engy-inst-inc-v-epa/,Nuc Engy Inst Inc v. EPA,2004-07-09,2004,0.85,no,yes,Environmental Protection Agency,Yucca Mountain Radiation Protection Standards,40 C.F.R. pt. 197,"66 Fed. Reg. 32,074","The court vacated EPA's 10,000-year compliance period as inconsistent with the Energy Policy Act's requirement that standards be 'based upon and consistent with' NAS findings, finding it unlawful at Chevron step one or on statutory grounds rather than upholding the agency at step two. While the court rejected most other challenges to the EPA rule, the central holding was against the agency on the compliance period, and the opinion does not reflect a classic Chevron step two affirmance of an ambi"
186275,186275,/opinion/186275/natl-home-equi-mtge-v-ots/,Natl Home Equi Mtge v. OTS,2004-07-13,2004,0.97,yes,yes,Office of Thrift Supervision,OTS Parity Act Rule Designating Late Fee and Prepayment Penalty Regulations Inapplicable to State-Chartered Housing Creditors,"12 C.F.R. §§ 560.33, 560.34","67 Fed. Reg. 60,542","The D.C. Circuit explicitly applied Chevron step two, finding the Parity Act ambiguous as to the scope of state law preemption for alternative mortgage transactions, and then upheld the OTS's interpretation that only regulations 'essential or intrinsic' to a creditor's ability to engage in AMTs must be applied to state-chartered housing creditors. The rule was promulgated through notice-and-comment rulemaking, preceded by an Advance Notice of Proposed Rulemaking (April 2000) and a Notice of Prop"
7863106,7914051,/opinion/7914051/national-home-equity-mortgage-assn-v-office-of-thrift-supervision/,National Home Equity Mortgage Ass'n v. Office of Thrift Supervision,2004-07-13,2004,0.97,yes,yes,Office of Thrift Supervision,OTS Parity Act Rule – Inapplicability of Prepayment Penalty and Late Fee Regulations to State-Chartered Housing Creditors,"12 C.F.R. §§ 560.33, 560.34","67 Fed. Reg. 60,542","The D.C. Circuit explicitly applied Chevron step two after finding the Alternative Mortgage Transaction Parity Act ambiguous as to the scope of state law preemption, and upheld the OTS's interpretation that only regulations 'essential or intrinsic' to the ability of state housing creditors to engage in alternative mortgage transactions need be applied to them. The rule was promulgated through notice-and-comment rulemaking, with an Advance Notice of Proposed Rulemaking in 2000, a Notice of Propos"
186258,186258,/opinion/186258/pub-ctzn-inc-v-natl-hwy-traf-sfty/,Pub Ctzn Inc v. Natl Hwy Traf Sfty,2004-07-20,2004,0.88,yes,yes,National Highway Traffic Safety Administration (NHTSA),Advanced Air Bags / Federal Motor Vehicle Safety Standard No. 208 Unbelted Crash Test Speed Rule,49 C.F.R. § 571.208,65 Fed. Reg. 30680,"The court explicitly applied Chevron step two analysis to NHTSA's interpretation of TEA 21's requirement to 'improve occupant protection,' finding NHTSA's decision to use the sled test as the baseline and set the unbelted rigid barrier crash test speed at 25 mph to be a permissible construction of the ambiguous statute. The rule was promulgated through notice-and-comment rulemaking, including a 1998 NPRM, a 1999 Supplemental NPRM, and a final rule published at 65 Fed. Reg. 30,680, codified at 49"
186263,186263,/opinion/186263/bp-w-coast-prod-v-ferc/,BP W Coast Prod v. FERC,2004-07-20,2004,0.85,no,no,Federal Energy Regulatory Commission (FERC),SFPP Oil Pipeline Rate Grandfathering under Energy Policy Act of 1992,,,"The court applied Chevron deference in several instances, but to FERC adjudicatory interpretations of the Energy Policy Act of 1992, not to notice-and-comment rulemaking. The opinion explicitly notes that the EPAct contemplates enforcement through formal adjudications, not rulemakings. Additionally, while the court upheld some FERC interpretations at Chevron step two (e.g., the East Hynes origination point and the protest particularity requirement), it also vacated and remanded significant porti"
7863108,7914053,/opinion/7914053/public-citizen-inc-v-national-highway-traffic-safety-administration/,"Public Citizen, Inc. v. National Highway Traffic Safety Administration",2004-07-20,2004,0.9,yes,yes,National Highway Traffic Safety Administration (NHTSA),Advanced Air Bags / Federal Motor Vehicle Safety Standard No. 208 Unbelted Crash Test Speed Rule,49 C.F.R. § 571.208,"65 Fed. Reg. 30,680","The court explicitly applied the Chevron two-step framework and resolved the statutory challenge at step two, finding NHTSA's interpretation of TEA 21—using the sled test as the baseline for measuring 'improvement' in occupant protection and setting the unbelted crash test speed at 25 mph—to be a permissible construction of the ambiguous statute. The rule was promulgated through notice-and-comment rulemaking, including a 1998 NPRM, a 1999 Supplemental NPRM, and a final rule published at 65 Fed. "
186252,186252,/opinion/186252/noramco-of-delaware-inc-v-drug-enforcement-administration/,"Noramco of Delaware, Inc. v. Drug Enforcement Administration",2004-07-23,2004,0.25,yes,no,Drug Enforcement Administration,DEA Narcotic Raw Material Importer Registration,21 C.F.R. § 1301.33(b),67 Fed. Reg. 39041,"The court applied Chevron step two to uphold the DEA's interpretation of 21 U.S.C. § 823(a)(1) — that it need not analyze adequacy of competition when it affirmatively finds diversion will be effectively controlled — in two separate instances. However, the DEA's interpretation was not adopted through notice-and-comment rulemaking; it was expressed through adjudicatory orders (individual registration proceedings) rather than a codified regulation promulgated via the APA's notice-and-comment proce"
186253,186253,/opinion/186253/honeywell-international-inc-v-environmental-protection-agency/,Honeywell International Inc. v. Environmental Protection Agency,2004-07-23,2004,0.95,no,yes,Environmental Protection Agency,SNAP Rule listing HCFC-22 and HCFC-142b as acceptable substitutes for HCFC-141b in certain foam end-uses,40 C.F.R. pts. 82,67 Fed. Reg. 47703,"The court vacated the EPA rule rather than upholding it, finding that EPA improperly considered economic factors when the agency had not itself offered a statutory interpretation permitting such consideration. The court explicitly declined to apply Chevron step two deference to uphold the rule, noting that without a formal agency interpretation of whether section 612(c) permits cost consideration, it could not evaluate reasonableness. Thus, while the rule was promulgated through notice-and-comme"
8408958,8438378,/opinion/8438378/honeywell-international-inc-v-environmental-protection-agency/,Honeywell International Inc. v. Environmental Protection Agency,2004-07-23,2004,0.95,no,yes,Environmental Protection Agency,SNAP Rule listing HCFC-22 and HCFC-142b as acceptable substitutes for HCFC-141b in certain foam end uses,40 C.F.R. pts. 82,67 Fed. Reg. 47703,"The court vacated EPA's rule rather than upholding it, so this is not a Chevron step two affirmance. The court found that EPA improperly relied on economic considerations when the statute may not permit such reliance, and remanded because EPA had not itself offered a statutory interpretation permitting cost consideration. Although the rule was promulgated through notice-and-comment rulemaking, the court did not uphold the agency's interpretation at Chevron step two."
